neighborhood,price,layout,bathrooms,square_footage
Brooklyn Heights,4600.00,2 Bedroom,2 Bathroom,1106
Bedford-Stuyvesant,2600.00,1 Bedroom,1 Bathroom,547
Brooklyn Heights,2150.00,Studio,1 Bathroom,700
Soho,8995.00,2 Bedroom,2 Bathroom,1279
Tribeca,4700.00,1 Bedroom,1 Bathroom,697
DUMBO,4600.00,2 Bedroom,2 Bathroom,1165
Clinton Hill,2800.00,1 Bedroom,1 Bathroom,791
East Village,3295.00,Studio,1 Bathroom,550
Financial District,4500.00,1 Bedroom,2 Bathroom,1115
Gowanus,1995.00,1 Bedroom,1 Bathroom,825
Bay Ridge,2400.00,2 Bedroom,1 Bathroom,1000
Financial District,3700.00,Studio,1 Bathroom,708
Financial District,3750.00,1 Bedroom,1 Bathroom,826
Boerum Hill,3950.00,2 Bedroom,2 Bathroom,1078
Upper East Side,7000.00,2 Bedroom,2 Bathroom,1027
Tribeca,12000.00,2 Bedroom,2 Bathroom,1845
Upper West Side,2850.00,Studio,1 Bathroom,467
Midtown East,5400.00,3 Bedroom,2 Bathroom,1400
Midtown West,9500.00,3 Bedroom,3 Bathroom,1689
Rockaway Beach,2600.00,2 Bedroom,1 Bathroom,1147
Upper East Side,3495.00,2 Bedroom,1 Bathroom,900
Upper East Side,3500.00,1 Bedroom,1 Bathroom,895
Financial District,2995.00,1 Bedroom w/ HO,1 Bathroom,620
Battery Park City,2600.00,Studio,1 Bathroom,553
Upper West Side,2250.00,Studio,1 Bathroom,350
Chelsea,2900.00,Studio,1 Bathroom,510
Ditmas Park,3199.00,3 Bedroom,2 Bathroom,925
Midtown East,2800.00,1 Bedroom,1 Bathroom,650
Washington Heights,1595.00,1 Bedroom,1 Bathroom,750
Williamsburg,3895.00,1 Bedroom,1 Bathroom,681
Upper East Side,2400.00,1 Bedroom,1 Bathroom,600
Murray Hill,2550.00,1 Bedroom,1 Bathroom,700
Chelsea,5550.00,2 Bedroom,2 Bathroom,1000
Midtown East,2850.00,1 Bedroom,1 Bathroom,900
Harlem,3850.00,3 Bedroom,1 Bathroom,1650
Downtown Brooklyn,2650.00,1 Bedroom,1 Bathroom,608
Harlem,2150.00,2 Bedroom,1 Bathroom,700
Midtown West,3900.00,1 Bedroom,1 Bathroom,1000
Midtown West,6750.00,3 Bedroom w/ HO,2 Bathroom,1850
Upper West Side,2600.00,Studio,1 Bathroom,470
Tribeca,9000.00,2 Bedroom,2 Bathroom,2000
Upper East Side,6000.00,2 Bedroom,2 Bathroom,1368
Chelsea,19950.00,3 Bedroom,3.5 Bathroom,2778
Gowanus,3400.00,2 Bedroom,1 Bathroom,1000
Harlem,2800.00,2 Bedroom,1 Bathroom,1000
Nolita,6300.00,2 Bedroom,2 Bathroom,1100
Upper West Side,4500.00,1 Bedroom,1 Bathroom,714
East Village,3850.00,2 Bedroom,1 Bathroom,800
East Village,4750.00,2 Bedroom,1.5 Bathroom,1000
Greenpoint,2700.00,1 Bedroom,1 Bathroom,690
Williamsburg,7000.00,3 Bedroom,2 Bathroom,2000
Upper West Side,12500.00,4 Bedroom,4 Bathroom,2800
Midtown East,4200.00,1 Bedroom w/ HO,1.5 Bathroom,870
Cobble Hill,3400.00,1 Bedroom,1 Bathroom,785
Upper East Side,15800.00,3 Bedroom,3.5 Bathroom,2289
Brooklyn Heights,2100.00,Studio,1 Bathroom,400
Carroll Gardens,2100.00,1 Bedroom,1 Bathroom,650
East Village,2800.00,Studio,1 Bathroom,575
Tribeca,7000.00,1 Bedroom,1.5 Bathroom,1400
Gramercy,2850.00,Studio,1 Bathroom,430
Bedford-Stuyvesant,2400.00,3 Bedroom,1 Bathroom,975
Carroll Gardens,3695.00,2 Bedroom,1 Bathroom,1000
Kips Bay,2200.00,Studio,1 Bathroom,500
Upper West Side,3900.00,1 Bedroom,1 Bathroom,820
Norwood,2650.00,4 Bedroom,2 Bathroom,1421
Kingsbridge,2300.00,3 Bedroom,1 Bathroom,1200
Williamsburg,2500.00,2 Bedroom,1 Bathroom,800
Financial District,3200.00,1 Bedroom,1 Bathroom,750
Greenwich Village,11000.00,1 Bedroom,1.5 Bathroom,1200
Upper West Side,6500.00,2 Bedroom,2 Bathroom,1100
Upper East Side,2600.00,1 Bedroom,1 Bathroom,700
Upper East Side,3200.00,1 Bedroom,1 Bathroom,668
Soho,13000.00,2 Bedroom,2 Bathroom,1746
Park Slope,3400.00,2 Bedroom,1 Bathroom,900
Greenpoint,2850.00,1 Bedroom,1 Bathroom,625
Clinton Hill,3200.00,1 Bedroom w/ HO,1.5 Bathroom,987
Marble Hill,2320.00,2 Bedroom,1 Bathroom,800
Upper West Side,6200.00,2 Bedroom,2 Bathroom,1400
Upper East Side,2100.00,Studio,1 Bathroom,550
Noho,12500.00,2 Bedroom,2 Bathroom,1449
Midtown West,3770.00,Studio,1 Bathroom,590
East Williamsburg,2100.00,1 Bedroom,1 Bathroom,550
Upper East Side,12495.00,3 Bedroom,2.5 Bathroom,1827
Upper East Side,2495.00,Alcove Studio,1 Bathroom,500
Chelsea,3800.00,1 Bedroom,1 Bathroom,696
Cobble Hill,10500.00,6+ Bedroom,2 Bathroom,3024
Greenwich Village,5495.00,2 Bedroom,1 Bathroom,775
Midtown West,4242.00,1 Bedroom w/ HO,1 Bathroom,803
Lower East Side,2100.00,1 Bedroom,1 Bathroom,550
Bedford-Stuyvesant,2700.00,2 Bedroom,1 Bathroom,1179
Midtown,5900.00,1 Bedroom,1.5 Bathroom,1137
Greenpoint,2800.00,1 Bedroom,1 Bathroom,638
Upper West Side,5075.00,2 Bedroom,2 Bathroom,1000
Gramercy,4200.00,1 Bedroom,1 Bathroom,700
Prospect Heights,2100.00,1 Bedroom,1 Bathroom,422
Chelsea,13000.00,2 Bedroom,2.5 Bathroom,1726
Tribeca,3350.00,Studio,1 Bathroom,475
Upper East Side,8995.00,3 Bedroom,2 Bathroom,1723
Greenwich Village,2650.00,Studio,1 Bathroom,550
Midtown East,3250.00,1 Bedroom,1 Bathroom,780
Midtown,3200.00,Studio,1 Bathroom,600
Midtown East,2900.00,1 Bedroom,1 Bathroom,885
Lower East Side,3600.00,3 Bedroom,2 Bathroom,1005
Upper East Side,3495.00,1 Bedroom,1 Bathroom,773
Murray Hill,7500.00,4 Bedroom,2 Bathroom,2000
Clinton Hill,3500.00,2 Bedroom,1 Bathroom,1500
Midtown West,3500.00,1 Bedroom,1 Bathroom,689
Noho,6295.00,1 Bedroom,1 Bathroom,610
Ocean Hill,2100.00,3 Bedroom,1 Bathroom,900
Midtown East,2800.00,1 Bedroom,1 Bathroom,600
East Williamsburg,5750.00,3 Bedroom,2 Bathroom,1850
Upper West Side,3175.00,1 Bedroom,1 Bathroom,568
West Village,3500.00,1 Bedroom,1 Bathroom,595
Upper West Side,2920.00,1 Bedroom,1 Bathroom,577
Upper East Side,22000.00,4 Bedroom,3 Bathroom,2350
Upper West Side,4325.00,1 Bedroom,1 Bathroom,907
Financial District,5900.00,1 Bedroom w/ HO,2 Bathroom,1351
Clinton Hill,3300.00,2 Bedroom,2 Bathroom,1000
East Flatbush,1799.00,2 Bedroom,1 Bathroom,900
South Williamsburg,7700.00,2 Bedroom,2 Bathroom,1859
Upper East Side,3250.00,1 Bedroom,1 Bathroom,700
Prospect Heights,3500.00,1 Bedroom,1 Bathroom,966
Upper East Side,2700.00,1 Bedroom,1 Bathroom,600
Chelsea,22500.00,4 Bedroom w/ HO,4.5 Bathroom,3216
Upper East Side,16000.00,3 Bedroom,4.5 Bathroom,2700
Union Square,11950.00,3 Bedroom,2 Bathroom,2700
Upper East Side,35000.00,3 Bedroom,3.5 Bathroom,2915
Bay Ridge,2700.00,1 Bedroom,1 Bathroom,900
Carroll Gardens,2935.00,1 Bedroom,1 Bathroom,825
Midtown,6950.00,2 Bedroom,2.5 Bathroom,1490
Upper East Side,3950.00,1 Bedroom,2 Bathroom,780
Upper East Side,3840.00,1 Bedroom,1.5 Bathroom,1000
East Harlem,3100.00,2 Bedroom,2 Bathroom,1056
Upper West Side,25000.00,2 Bedroom,2.5 Bathroom,2367
Murray Hill,4995.00,1 Bedroom,1 Bathroom,794
East Village,3125.00,1 Bedroom,1 Bathroom,444
Midtown,2500.00,1 Bedroom,1 Bathroom,500
Morningside Heights,5000.00,2 Bedroom,2 Bathroom,1150
West Village,4150.00,1 Bedroom w/ HO,1 Bathroom,650
Upper West Side,3500.00,2 Bedroom,1 Bathroom,800
Midwood,1645.00,1 Bedroom,1 Bathroom,800
Downtown Brooklyn,2979.00,1 Bedroom,1 Bathroom,658
Upper West Side,2500.00,Studio,1 Bathroom,450
Cobble Hill,3500.00,1 Bedroom,1 Bathroom,1100
Tribeca,7000.00,1 Bedroom,2.5 Bathroom,1394
Midtown East,5700.00,1 Bedroom,2 Bathroom,966
Tribeca,12000.00,3 Bedroom,3 Bathroom,2021
Midtown East,52000.00,3 Bedroom,3.5 Bathroom,2936
Upper West Side,3300.00,1 Bedroom,1 Bathroom,800
Chelsea,4600.00,1 Bedroom,1 Bathroom,634
Financial District,3950.00,1 Bedroom w/ HO,1 Bathroom,700
Clinton Hill,2250.00,1 Bedroom,1 Bathroom,720
Upper West Side,9000.00,3 Bedroom,2.5 Bathroom,1565
Financial District,3816.00,1 Bedroom,1 Bathroom,855
Upper West Side,4200.00,2 Bedroom,1 Bathroom,800
Cobble Hill,2550.00,1 Bedroom,1 Bathroom,900
Upper East Side,9983.75,Studio,1 Bathroom,1141
Greenwich Village,6200.00,1 Bedroom,1 Bathroom,834
Williamsburg,11250.00,3 Bedroom,3 Bathroom,1980
Brighton Beach,3600.00,2 Bedroom,2 Bathroom,1181
Upper West Side,3100.00,1 Bedroom,1 Bathroom,880
Upper East Side,3200.00,1 Bedroom,1 Bathroom,807
Midtown West,5100.00,2 Bedroom,2 Bathroom,1215
Greenwich Village,3800.00,1 Bedroom,1 Bathroom,586
Prospect Heights,4500.00,2 Bedroom,2 Bathroom,1500
East Village,3000.00,2 Bedroom,1 Bathroom,582
Upper West Side,5730.00,2 Bedroom,2 Bathroom,1140
Upper West Side,2350.00,Studio,1 Bathroom,406
Chelsea,8000.00,2 Bedroom,2 Bathroom,1208
Greenpoint,5900.00,4 Bedroom,3 Bathroom,3000
Bedford-Stuyvesant,1800.00,2 Bedroom,1 Bathroom,1050
Upper West Side,7900.00,2 Bedroom,2 Bathroom,1549
Gramercy,17000.00,2 Bedroom,2 Bathroom,2032
West Village,5500.00,1 Bedroom,1 Bathroom,1000
Greenwich Village,4800.00,3 Bedroom,1 Bathroom,0
Chelsea,3900.00,2 Bedroom,1 Bathroom,700
Soho,6500.00,2 Bedroom,1 Bathroom,1500
Harlem,3495.00,4 Bedroom,1 Bathroom,1000
West Village,12750.00,2 Bedroom,2 Bathroom,1000
Midtown West,4200.00,1 Bedroom,1 Bathroom,872
Greenwich Village,2800.00,1 Bedroom,1 Bathroom,0
Kips Bay,1895.00,Studio,1 Bathroom,500
Greenpoint,3400.00,2 Bedroom,1 Bathroom,979
Upper East Side,2350.00,1 Bedroom,1 Bathroom,625
Upper West Side,3500.00,1 Bedroom,1 Bathroom,765
West Village,5718.00,Studio,2 Bathroom,1173
Midwood,1950.00,1 Bedroom,1 Bathroom,774
Upper West Side,5800.00,2 Bedroom,2 Bathroom,1076
Noho,12000.00,2 Bedroom,2 Bathroom,1350
Midtown,4900.00,1 Bedroom,1.5 Bathroom,802
Harlem,2650.00,2 Bedroom,2 Bathroom,814
Clinton Hill,8000.00,5 Bedroom,3.5 Bathroom,3000
NoMad,12995.00,2 Bedroom,2.5 Bathroom,1830
Tribeca,9000.00,2 Bedroom,2 Bathroom,1736
Upper West Side,7400.00,3 Bedroom,2 Bathroom,1550
Gramercy,3750.00,1 Bedroom,1 Bathroom,630
Upper West Side,3300.00,1 Bedroom,1 Bathroom,650
Bedford-Stuyvesant,1795.00,1 Bedroom,1 Bathroom,650
Upper West Side,3300.00,1 Bedroom,1 Bathroom,800
Noho,12250.00,2 Bedroom,2 Bathroom,1350
Gramercy,6000.00,2 Bedroom,1 Bathroom,1070
Upper East Side,8750.00,2 Bedroom,2 Bathroom,1350
Downtown Brooklyn,2100.00,Studio,1 Bathroom,473
Williamsburg,3700.00,3 Bedroom,2 Bathroom,1500
Williamsburg,2650.00,Studio,1 Bathroom,550
Midtown,4250.00,1 Bedroom,1 Bathroom,970
Bushwick,2225.00,1 Bedroom,1 Bathroom,796
Midtown,3150.00,1 Bedroom,1 Bathroom,730
Harlem,2500.00,2 Bedroom,1 Bathroom,825
Battery Park City,3900.00,1 Bedroom,1 Bathroom,700
Gramercy,3500.00,1 Bedroom,1 Bathroom,647
Midtown East,4495.00,2 Bedroom,2 Bathroom,951
Park Slope,2800.00,2 Bedroom,1 Bathroom,850
Midtown East,13995.00,2 Bedroom,3 Bathroom,1833
Crown Heights,2200.00,2 Bedroom,1 Bathroom,750
Lower East Side,6500.00,2 Bedroom,1 Bathroom,1100
Chelsea,4025.00,1 Bedroom,1 Bathroom,800
Midtown,6900.00,2 Bedroom,2.5 Bathroom,1600
Lower East Side,11000.00,3 Bedroom,2.5 Bathroom,2200
Midtown East,3600.00,2 Bedroom,1 Bathroom,651
Soho,11499.00,2 Bedroom,2 Bathroom,2522
Flatiron,8500.00,2 Bedroom,2.5 Bathroom,1595
Downtown Brooklyn,4700.00,2 Bedroom,2 Bathroom,1337
Midtown,3000.00,1 Bedroom,1 Bathroom,0
Upper East Side,16000.00,4 Bedroom,4 Bathroom,2600
Midtown,3500.00,1 Bedroom,1 Bathroom,800
East Village,3000.00,2 Bedroom,1 Bathroom,800
Gerritsen Beach,2350.00,3 Bedroom,2 Bathroom,1100
Midtown West,9995.00,2 Bedroom,2 Bathroom,1727
Tribeca,16500.00,3 Bedroom,3 Bathroom,2000
Kensington,1899.00,2 Bedroom,1 Bathroom,1100
Flatiron,4750.00,Studio,1 Bathroom,749
Downtown Brooklyn,2575.00,Studio,1 Bathroom,408
Melrose,1575.00,2 Bedroom,1 Bathroom,900
Williamsburg,2795.00,1 Bedroom w/ HO,1 Bathroom,750
Tudor City,3100.00,1 Bedroom,1 Bathroom,583
Downtown Brooklyn,3100.00,1 Bedroom,1 Bathroom,765
Nolita,3400.00,Studio,1 Bathroom,429
Williamsburg,2750.00,Studio,1 Bathroom,605
Upper West Side,4510.00,2 Bedroom w/ HO,1.5 Bathroom,1000
Upper East Side,3095.00,1 Bedroom,1 Bathroom,700
Upper West Side,6500.00,2 Bedroom,2 Bathroom,1479
Riverdale,1800.00,2 Bedroom,1 Bathroom,1000
Kips Bay,2775.00,1 Bedroom,1 Bathroom,700
Harlem,2000.00,2 Bedroom,1 Bathroom,750
Upper West Side,9500.00,3 Bedroom,2 Bathroom,1517
Park Slope,2495.00,1 Bedroom,1 Bathroom,600
Midtown,13900.00,2 Bedroom,2 Bathroom,1423
Midtown,5000.00,2 Bedroom,1 Bathroom,950
Financial District,2795.00,1 Bedroom,1 Bathroom,880
Harlem,2195.00,1 Bedroom,1 Bathroom,800
DUMBO,4800.00,1 Bedroom,1 Bathroom,1077
DUMBO,4767.00,2 Bedroom,2 Bathroom,1300
Midtown West,2400.00,Studio,1 Bathroom,437
Upper East Side,4650.00,2 Bedroom,2 Bathroom,1000
Greenwich Village,10000.00,2 Bedroom,2 Bathroom,1200
Bedford-Stuyvesant,1500.00,1 Bedroom,1 Bathroom,575
Brooklyn Heights,5200.00,2 Bedroom,1 Bathroom,1150
Chelsea,7000.00,1 Bedroom,2 Bathroom,1097
Greenwich Village,4100.00,1 Bedroom,1 Bathroom,800
Chelsea,25000.00,3 Bedroom,3 Bathroom,3686
Fort Greene,3000.00,1 Bedroom,1 Bathroom,787
Astoria,2200.00,1 Bedroom,1 Bathroom,834
Midtown,8000.00,2 Bedroom,2 Bathroom,1280
Park Slope,2295.00,1 Bedroom,1 Bathroom,500
Upper East Side,4100.00,2 Bedroom,1 Bathroom,900
Battery Park City,7595.00,2 Bedroom,2 Bathroom,1356
Greenpoint,2850.00,1 Bedroom,1 Bathroom,700
East Village,5000.00,3 Bedroom,1 Bathroom,1000
Midtown West,2500.00,Studio,1 Bathroom,500
Upper West Side,2950.00,2 Bedroom,1.5 Bathroom,700
Long Island City,2350.00,Studio,1 Bathroom,700
Greenwich Village,7500.00,2 Bedroom,2 Bathroom,1330
Midtown East,3650.00,1 Bedroom,1 Bathroom,700
Harlem,1450.00,Studio,1 Bathroom,500
Harlem,2850.00,3 Bedroom,2 Bathroom,1500
Upper West Side,3500.00,1 Bedroom,1 Bathroom,725
Williamsburg,3250.00,1 Bedroom,1 Bathroom,710
Soho,2700.00,Studio,1 Bathroom,450
Prospect Heights,2500.00,2 Bedroom,1 Bathroom,800
Lower East Side,4695.00,3 Bedroom,2 Bathroom,945
Murray Hill,15995.00,4 Bedroom,2 Bathroom,2400
Greenwich Village,4695.00,1 Bedroom,1 Bathroom,800
Upper West Side,2300.00,Studio,1 Bathroom,545
Soho,16000.00,3 Bedroom,1 Bathroom,4200
Park Slope,3200.00,3 Bedroom,1 Bathroom,1200
Union Square,4850.00,1 Bedroom,1 Bathroom,684
Upper West Side,5950.00,2 Bedroom,1 Bathroom,1041
Upper West Side,9950.00,2 Bedroom,2 Bathroom,1429
Upper West Side,2250.00,Studio,1 Bathroom,250
Chelsea,16000.00,2 Bedroom,2 Bathroom,2425
Tribeca,4800.00,Studio,1 Bathroom,1400
Fort Greene,3950.00,2 Bedroom,2 Bathroom,986
Greenwich Village,2895.00,Studio,1 Bathroom,600
Upper West Side,2700.00,Studio,1 Bathroom,500
Greenwood Heights,2000.00,1 Bedroom w/ HO,1 Bathroom,725
Harlem,1695.00,1 Bedroom,1 Bathroom,700
Midtown West,4750.00,2 Bedroom,2 Bathroom,1100
Financial District,3500.00,Studio,1 Bathroom,662
Harlem,2950.00,2 Bedroom,2 Bathroom,966
Upper East Side,6150.00,2 Bedroom,2 Bathroom,1065
Upper East Side,1950.00,1 Bedroom,1 Bathroom,1
Bedford-Stuyvesant,2500.00,4 Bedroom,2 Bathroom,1600
Flatiron,4300.00,1 Bedroom,1 Bathroom,650
Flatiron,4900.00,2 Bedroom,2 Bathroom,1100
Upper West Side,2095.00,Studio,1 Bathroom,550
West Village,3300.00,Studio,1 Bathroom,520
Tribeca,9500.00,2 Bedroom,2 Bathroom,1932
East Village,4500.00,2 Bedroom,1 Bathroom,930
Bedford-Stuyvesant,4500.00,2 Bedroom,1 Bathroom,2000
Carroll Gardens,5500.00,2 Bedroom,2 Bathroom,1205
West Village,6500.00,1 Bedroom,1 Bathroom,900
Upper West Side,3460.00,1 Bedroom,1 Bathroom,638
Soho,6500.00,4 Bedroom,2 Bathroom,1400
Upper East Side,14000.00,3 Bedroom,3 Bathroom,1934
Fort Greene,2850.00,Studio,1 Bathroom,516
Chelsea,5500.00,2 Bedroom,1 Bathroom,1200
Battery Park City,5995.00,2 Bedroom,2 Bathroom,1190
Soho,8500.00,3 Bedroom,2 Bathroom,2400
Prospect Heights,3500.00,1 Bedroom,1.5 Bathroom,835
Williamsburg,3849.00,2 Bedroom,1 Bathroom,800
Williamsburg,5995.00,2 Bedroom,2 Bathroom,1333
Chelsea,6500.00,1 Bedroom,2 Bathroom,1571
Midtown West,3100.00,1 Bedroom,1 Bathroom,642
East Village,3750.00,Studio,1 Bathroom,400
Park Slope,3200.00,2 Bedroom,1 Bathroom,1100
South Williamsburg,3324.00,Studio,2 Bathroom,621
Sunset Park,3995.00,3 Bedroom,2.5 Bathroom,2400
East Village,3995.00,1 Bedroom,1 Bathroom,900
Midtown West,4300.00,1 Bedroom,1 Bathroom,1165
Long Island City,2298.00,Studio,1 Bathroom,600
Midtown West,4000.00,1 Bedroom,1 Bathroom,885
West Village,17000.00,2 Bedroom,2 Bathroom,1207
Kips Bay,2295.00,1 Bedroom,1 Bathroom,650
Upper East Side,4999.00,2 Bedroom,2 Bathroom,975
Upper West Side,7375.00,2 Bedroom,2 Bathroom,1225
Harlem,4000.00,2 Bedroom,2 Bathroom,1214
Upper West Side,5500.00,2 Bedroom,2 Bathroom,1250
Midtown West,2200.00,1 Bedroom,1 Bathroom,500
Greenwich Village,2850.00,Studio,1 Bathroom,600
Boerum Hill,3300.00,2 Bedroom,2 Bathroom,1200
Murray Hill,4850.00,3 Bedroom,2 Bathroom,1300
Upper East Side,3750.00,1 Bedroom,1 Bathroom,657
Murray Hill,3850.00,1 Bedroom,1 Bathroom,800
Prospect Heights,2950.00,1 Bedroom,1 Bathroom,654
Flatlands,1500.00,Studio,1 Bathroom,1000
Upper East Side,2400.00,1 Bedroom,1 Bathroom,700
Gramercy,2495.00,Studio,1 Bathroom,400
Midtown,3500.00,1 Bedroom,1 Bathroom,710
Midtown West,7500.00,2 Bedroom w/ HO,3 Bathroom,1496
Midtown East,4800.00,2 Bedroom,2 Bathroom,1098
Tribeca,5800.00,2 Bedroom,1 Bathroom,1100
Astoria,2350.00,1 Bedroom,1 Bathroom,936
Cobble Hill,3200.00,1 Bedroom,1 Bathroom,800
Williamsburg,2495.00,Studio,1 Bathroom,466
Lower East Side,5900.00,2 Bedroom,2 Bathroom,1098
Battery Park City,2525.00,1 Bedroom,1 Bathroom,600
Harlem,3000.00,4 Bedroom,2 Bathroom,900
Chelsea,5245.00,1 Bedroom,1 Bathroom,620
Murray Hill,4995.00,1 Bedroom,1.5 Bathroom,1100
Upper West Side,5500.00,2 Bedroom,2 Bathroom,971
Park Slope,9000.00,5 Bedroom,3 Bathroom,2500
Astoria,2600.00,1 Bedroom,1 Bathroom,650
Midtown,12555.00,Studio,1 Bathroom,2894
Park Slope,2495.00,1 Bedroom,1 Bathroom,650
East Village,6500.00,3 Bedroom,2 Bathroom,1300
Midtown,4200.00,1 Bedroom,1 Bathroom,900
Midtown,6000.00,1 Bedroom,1 Bathroom,759
Bedford-Stuyvesant,2950.00,2 Bedroom,2 Bathroom,890
Brooklyn Heights,2000.00,Studio,1 Bathroom,400
Midtown West,4950.00,1 Bedroom,1 Bathroom,850
Harlem,2500.00,3 Bedroom,1 Bathroom,800
Upper East Side,2400.00,1 Bedroom,1 Bathroom,600
Williamsburg,2795.00,1 Bedroom,1 Bathroom,620
Upper West Side,3200.00,1 Bedroom,1 Bathroom,675
Soho,7800.00,2 Bedroom,2 Bathroom,1800
Park Slope,3100.00,1 Bedroom w/ HO,1 Bathroom,1000
Soho,35150.00,3 Bedroom,3 Bathroom,2706
Murray Hill,3200.00,1 Bedroom,1 Bathroom,740
Harlem,1800.00,1 Bedroom,1 Bathroom,600
Upper West Side,2500.00,Studio,1 Bathroom,500
Windsor Terrace,2800.00,2 Bedroom,1 Bathroom,950
Upper West Side,5300.00,2 Bedroom,1 Bathroom,1150
Brooklyn Heights,4000.00,1 Bedroom,2 Bathroom,800
Sunnyside,1320.00,Studio,1 Bathroom,525
Noho,6750.00,1 Bedroom,2 Bathroom,1100
West Village,3850.00,1 Bedroom,1 Bathroom,450
East Village,3400.00,2 Bedroom,1 Bathroom,800
Tribeca,11000.00,3 Bedroom,2 Bathroom,2098
Crown Heights,2000.00,1 Bedroom,1 Bathroom,550
Bedford-Stuyvesant,3000.00,2 Bedroom,2 Bathroom,2000
Midtown,5700.00,2 Bedroom,2 Bathroom,1150
Chelsea,10850.00,2 Bedroom,2 Bathroom,1572
Downtown Brooklyn,2495.00,Studio,1 Bathroom,615
Upper East Side,5500.00,1 Bedroom,1 Bathroom,919
East Harlem,3100.00,3 Bedroom w/ HO,1.5 Bathroom,1050
Midtown West,5500.00,2 Bedroom,2 Bathroom,1070
Bensonhurst,1450.00,2 Bedroom,1 Bathroom,850
Clinton Hill,2795.00,Studio,1 Bathroom,1070
Fort Greene,2350.00,1 Bedroom,1 Bathroom,750
Battery Park City,3200.00,1 Bedroom,1 Bathroom,717
Schuylerville,2499.00,3 Bedroom,1 Bathroom,1200
East Village,8200.00,2 Bedroom,2 Bathroom,1155
Upper West Side,6950.00,3 Bedroom,3 Bathroom,1700
Midtown West,8200.00,2 Bedroom,2 Bathroom,1343
Greenwich Village,3300.00,Studio,1 Bathroom,575
Lower East Side,3500.00,3 Bedroom,1 Bathroom,950
Soho,3500.00,1 Bedroom,1 Bathroom,650
Park Slope,6500.00,3 Bedroom,2 Bathroom,2000
Midtown East,2600.00,Studio,1 Bathroom,514
Midtown East,2395.00,Studio,1 Bathroom,400
Noho,12000.00,2 Bedroom,2 Bathroom,2034
Upper West Side,1800.00,1 Bedroom,1 Bathroom,700
Williamsburg,7000.00,3 Bedroom,2.5 Bathroom,1502
Bedford-Stuyvesant,2800.00,3 Bedroom,1 Bathroom,900
Upper East Side,1700.00,Studio,1 Bathroom,450
Midtown,3200.00,1 Bedroom,1 Bathroom,650
Lower East Side,5795.00,3 Bedroom,2 Bathroom,1100
Williamsburg,12500.00,3 Bedroom,2.5 Bathroom,2400
Astoria,2500.00,2 Bedroom,1 Bathroom,900
Upper East Side,6200.00,2 Bedroom,2 Bathroom,900
Chelsea,10000.00,3 Bedroom,2 Bathroom,1900
West Village,3595.00,1 Bedroom,1 Bathroom,550
Chelsea,25000.00,4 Bedroom,4.5 Bathroom,3217
Harlem,3400.00,3 Bedroom,2 Bathroom,1290
Harlem,2500.00,2 Bedroom,1 Bathroom,950
Park Slope,6500.00,3 Bedroom,2 Bathroom,1400
Harlem,2500.00,1 Bedroom,1 Bathroom,900
Midtown,5000.00,1 Bedroom,1 Bathroom,800
Gramercy,3700.00,1 Bedroom,1 Bathroom,704
Midtown East,7195.00,2 Bedroom,2.5 Bathroom,1450
Harlem,2400.00,1 Bedroom,1 Bathroom,700
Meatpacking,18500.00,3 Bedroom,2.5 Bathroom,2425
NoMad,2050.00,Studio,1 Bathroom,500
Williamsburg,2500.00,1 Bedroom,1 Bathroom,650
East Village,1840.00,Studio,1 Bathroom,375
Murray Hill,5200.00,1 Bedroom,2 Bathroom,973
Financial District,3900.00,1 Bedroom,1 Bathroom,875
Upper East Side,2975.00,1 Bedroom,1 Bathroom,570
Brooklyn Heights,3750.00,2 Bedroom,1 Bathroom,750
Upper East Side,3800.00,1 Bedroom,1 Bathroom,770
Riverdale,3500.00,2 Bedroom,2 Bathroom,1337
Midtown,50000.00,3 Bedroom,3 Bathroom,3228
Crown Heights,3750.00,3 Bedroom,2 Bathroom,1531
Tribeca,15000.00,3 Bedroom,3 Bathroom,1897
NoMad,5250.00,Studio,1 Bathroom,608
Chelsea,3650.00,1 Bedroom,1 Bathroom,550
West Village,5850.00,1 Bedroom,1 Bathroom,785
Murray Hill,3600.00,2 Bedroom,1 Bathroom,713
Upper West Side,2675.00,1 Bedroom,1 Bathroom,710
Financial District,6350.00,2 Bedroom,2 Bathroom,1585
Midtown East,4800.00,1 Bedroom,1 Bathroom,940
Flatbush,2500.00,3 Bedroom,1 Bathroom,885
Tribeca,6000.00,1 Bedroom,1 Bathroom,1500
Chelsea,7400.00,2 Bedroom,2 Bathroom,1339
Murray Hill,2650.00,Studio,1 Bathroom,524
Upper East Side,8300.00,2 Bedroom,2.5 Bathroom,1445
Prospect Heights,4500.00,2 Bedroom,2 Bathroom,1130
Upper West Side,2640.00,Studio,1 Bathroom,545
East Harlem,1700.00,Studio,1 Bathroom,360
Astoria,1900.00,1 Bedroom,1 Bathroom,860
Chelsea,8250.00,2 Bedroom,2 Bathroom,1580
Financial District,3575.00,1 Bedroom,1 Bathroom,836
Union Square,13500.00,3 Bedroom,3 Bathroom,2099
Greenpoint,2399.00,1 Bedroom,1 Bathroom,650
Tudor City,3350.00,1 Bedroom,1 Bathroom,715
Murray Hill,3100.00,Studio,1 Bathroom,501
Chelsea,3500.00,1 Bedroom,1 Bathroom,600
Clinton Hill,3500.00,3 Bedroom,2 Bathroom,1500
Long Island City,2150.00,Studio,1 Bathroom,500
